Project,Cabinets,Parts,File-1,File-2,Length,Width,Grain,Qty,Material,thickness,Edge_L-1,Edge_L2,Edge_w-1,Edge_w-2
Q141_UE,Dresser cab,Top,00072652.cix,,565,173.5,0,1,ply18,17,5_white,,,
Q141_UE,Dresser cab,Bottom,00072653.cix,00072654.cix,565,173.5,0,1,ply18,17,5_white,,,
Q141_UE,Dresser cab,Left Side,00072655.cix,,1399,194,0,1,ply18,17,5_white,5_Dado,5_white,5_white
Q141_UE,Dresser cab,Right Side,00072656.cix,,1399,194,0,1,Grey_SF,18,5_white,5_Dado,5_white,5_white
Q141_UE,Dresser cab,Back,00072657.cix,,1400,585,0,1,ply_7,6,,,,
Q141_UE,Dresser cab,Mobile Shelve,00072658.cix,,565,163.5,0,3,ply18,17,5_white,,,
Q141_UE,Dresser cab,Door-std (single) [1]_1,00072659.cix,,1394,594,0,1,Miror,6,2_Colour,2_Colour,2_Colour,2_Colour
Q141_UE,Dresser cab,Door-std (single) [1]_2,00072660.cix,,1394,594,0,1,ply18,17,2_Colour,2_Colour,2_Colour,2_Colour
Q141_UE,IIBR_Filler,Door-std (single) [1]_11,00072661.cix,,695,87,0,2,Grey_SF,18,,2_Colour,2_Colour,2_Colour
Q141_UE,IIBR_Filler,Door-std (single) [1]_21,00072662.cix,,1984,87,0,2,Grey_SF,18,,2_Colour,2_Colour,2_Colour
Q141_UE,IIBR_Loft,Top2,00072663.cix,,1762,74,0,1,L_F,19,0.5 mm door colour,5_white,,
Q141_UE,IIBR_Loft,Bottom2,00072664.cix,,1762,74,0,1,L_F,19,0.5 mm door colour,5_white,,
Q141_UE,IIBR_Loft,Left Side2,00072665.cix,,699,74,0,1,L_F,19,0.5 mm door colour,5_white,0.5 White,0.5 White
Q141_UE,IIBR_Loft,Right Side2,00072666.cix,,699,74,0,1,L_F,19,0.5 mm door colour,5_white,0.5 White,0.5 White
Q141_UE,IIBR_Loft,Vertical Division [1]2,00072667.cix,00072668.cix,662,74.5,0,1,L_F,19,0.5 mm door colour,,,
Q141_UE,IIBR_Loft,Door-std (single) [1]2,00072669.cix,,644.5,594.3,0,1,Wh_SF,18,2mm door,2mm door,2mm door,2mm door
Q141_UE,IIBR_Loft,Door 1 (single) [1]2,00072670.cix,,46.5,1795,0,1,Wh_SF,18,2mm door,2mm door,,2mm door
Q141_UE,IIBR_Loft,Door-std (double) [1]_12,00072671.cix,,644.5,594.3,0,1,Wh_SF,18,2mm door,2mm door,2mm door,2mm door
Q141_UE,IIBR_Loft,Door-std (double) [1]_22,00072672.cix,,644.5,594.3,0,1,Grey_SF,18,2mm door,2mm door,2mm door,2mm door
Q141_UE,IIBR_WR,Top3,00072673.cix,,1959,549,0,1,ply18,17,5_Wenge,5_Dado,5_white,5_white
Q141_UE,IIBR_WR,Bottom3,00072674.cix,,1766,528,0,1,ply18,17,5_Wenge,5_Dado,,
Q141_UE,IIBR_WR,Left Side3,00072675.cix,,2082.5,549,0,1,ply18,17,5_Wenge,5_Dado,,5_white
Q141_UE,IIBR_WR,Right Side3,00072676.cix,,2082.5,549,0,1,ply18,17,5_Wenge,5_Dado,,5_white
Q141_UE,IIBR_WR,Back_13,00072677.cix,,1983,1196.6,0,1,ply_7,6,,,,
Q141_UE,IIBR_WR,Back_23,00072678.cix,,1983,589.4,0,1,ply_7,6,,,,
Q141_UE,IIBR_WR,Mobile Shelve3,00072679.cix,,573.3,498.5,0,4,ply18,17,5_white,,,
Q141_UE,IIBR_WR,Mobile Shelve3,00072680.cix,,577.8,498.5,0,2,ply18,17,5_white,,,
Q141_UE,IIBR_WR,Shelve 5raw [1]3,00072681.cix,,1174.7,498.5,0,1,ply18,17,5_white,,,
Q141_UE,IIBR_WR,Vertical Division [1]3,00072682.cix,00072683.cix,1956,528.5,0,1,ply18,17,5_Wenge,,,
Q141_UE,IIBR_WR,Upright 4raw [1]3,00072684.cix,00072685.cix,969.5,498.5,0,1,ply18,17,5_Wenge,,,
