Project,Cabinets,Parts,File-1,File-2,Length,Width,Grain,Qty,Material,thickness,Edge_L-1,Edge_L2,Edge_w-1,Edge_w-2
Rajagopal,Cylinder_Cab,Top,10036328.cix,,1596,397.2,0,1,Black_SF,18,2_Colour,8_Dado,2_Colour,2_Colour
Rajagopal,Cylinder_Cab,Left Side,10036329.cix,,881.2,373.4,1,1,HMR_donnar_Oak_18,18,8_colour,8_Dado,,8_colour
Rajagopal,Cylinder_Cab,Right Side,10036330.cix,,881.2,373.4,1,1,HMR_donnar_Oak_18,18,8_colour,8_Dado,,8_colour
Rajagopal,Cylinder_Cab,Back_1,10036331.cix,,780,986.2,0,1,HMR_9_White,9,,,,
Rajagopal,Cylinder_Cab,Back_2,10036332.cix,,890,485.8,0,1,HMR_9_White,9,,,,
Rajagopal,Cylinder_Cab,Fixed Shelf [1],10036333.cix,10036334.cix,973.2,373.4,0,1,HMR_white_BSL_18,18,8_colour,8_Dado,,
Rajagopal,Cylinder_Cab,Mobile Shelf [1],10036335.cix,,972.2,310.2,0,1,HMR_white_BSL_18,18,8_colour,,,
Rajagopal,Cylinder_Cab,Vertical Division [1],10036336.cix,10036337.cix,882,373.4,0,1,HMR_white_BSL_18,18,8_colour,8_Dado,,
Rajagopal,Cylinder_Cab,Double-Back 1 [1],10036338.cix,,40,1500.2,1,1,HMR_donnar_Oak_18,18,,,,
Rajagopal,Cylinder_Cab,Double-Back 1 [2],10036339.cix,,40,508.8,1,1,HMR_donnar_Oak_18,18,,,,
Rajagopal,Cylinder_Cab,Door 1/bin/1.5-3 (Single) [1],10036340.cix,,593.5,494.3,1,1,HMR_donnar_Oak_18,18,2_Colour,2_Colour,45_deg,2_Colour
Rajagopal,Cylinder_Cab,Door 4/no hardware (Single) [1],10036341.cix,,102.8,993.9,1,1,HMR_donnar_Oak_18,18,2_Colour,2_Colour,2_Colour,2_Colour
Rajagopal,Cylinder_Cab,Door 4/no hardware (Single) [2],10036342.cix,,102.8,493.6,1,1,HMR_donnar_Oak_18,18,2_Colour,2_Colour,2_Colour,2_Colour
Rajagopal,Cylinder_Cab,Door 1/bin/1.5-3 (Double) [1]_1,10036343.cix,,746.5,494.3,1,1,HMR_donnar_Oak_18,18,2_Colour,2_Colour,45_deg,2_Colour
Rajagopal,Cylinder_Cab,Door 1/bin/1.5-3 (Double) [1]_2,10036344.cix,,746.5,494.3,1,1,HMR_donnar_Oak_18,18,2_Colour,2_Colour,45_deg,2_Colour
Rajagopal,Cylinder_Cab,Draw_30 [1],10036345.cix,,123.5,494.3,1,1,HMR_donnar_Oak_18,18,2_Colour,2_Colour,45_deg,2_Colour
Rajagopal,Cylinder_Cab,Left Side Draw_30 [1],10036346.cix,,331,89.4,0,1,HMR_white_BSL_18,18,8_colour,8_Dado,,
Rajagopal,Cylinder_Cab,Right Side Draw_30 [1],10036347.cix,,331,89.4,0,1,HMR_white_BSL_18,18,8_colour,8_Dado,,
Rajagopal,Cylinder_Cab,Bottom Draw_30 [1],10036348.cix,,427.4,311,0,1,HMR_9_White,9,,,,
Rajagopal,Cylinder_Cab,Back Draw_30 [1],10036349.cix,,411.4,89.4,0,1,HMR_white_BSL_18,18,8_colour,8_Dado,,
