Project,Cabinet,Part,File-1,File-2,Length,Width,Grain,Qty,Material,Thickness,Edge-L-1,Edge-L-2,Edge-W-1,Edge-W-2
I084_UE,Cor_base(Left),Top,00016885cix,,1094,524.5,0,1,ply18,18,5_white,,,
I084_UE,Cor_base(Left),Bottom,00016886cix,,1094,524.5,0,1,ply18,18,5_white,,,
I084_UE,Cor_base(Left),Left Side,00016887cix,,614,524.5,0,1,ply18,18,5_white,,5_white,5_white
I084_UE,Cor_base(Left),Right Side,00016888cix,,614,524.5,0,1,ply18,18,5_white,,5_white,5_white
I084_UE,Cor_base(Left),Back,00016889cix,,615,1130,0,1,ply_7,7,,,,
I084_UE,Cor_base(Left),Fixed Shelve [1],00016890cix,,1094,468,0,1,ply18,18,,,,
I084_UE,Cor_base(Left),Vertical Division [1],00016891cix,,579,56.5,0,1,ply18,18,5_white,,,
I084_UE,Cor_base(Left),Double-Back 1 [1],00016892cix,,579,570,0,1,ply18,18,,,,
I084_UE,Cor_base(Left),Door-std (single) [1],00016893cix,,669,527,1,1,walnut_HGL,18,2_Colour,2_Colour,2_Colour,2_Colour
I084_UE,Cor_base(Left),Door-std (single) [2],00016894cix,,669,142,1,1,walnut_HGL,18,2_Colour,2_Colour,2_Colour,2_Colour
I084_UE,Cor_base(Left),Upper Strip 1 [1],00016895cix,,694,60,0,1,L_F,19,,,,
I084_UE,IIBR_Dres_base,Top1,00016896cix,,596,397.5,1,1,walnut_sf_18,18,2_Colour,5_Dado,2_Colour,2_Colour
I084_UE,IIBR_Dres_base,Bottom1,00016897cix,,564,381,0,1,ply18,18,5_walnut,5_Dado,,
I084_UE,IIBR_Dres_base,Left Side1,00016898cix,,481.5,381,1,1,walnut_sf_18,18,5_walnut,5_Dado,,5_white
I084_UE,IIBR_Dres_base,Right Side1,00016899cix,,481.5,381,0,1,ply18,18,5_walnut,5_Dado,,5_white
I084_UE,IIBR_Dres_base,Back1,00016900cix,,374,584,0,1,ply_7,7,,,,
I084_UE,IIBR_Dres_base,Draw_acc [1]1,00016901cix,,180,594,1,2,walnut_sf_18,18,2_Colour,2_Colour,2_Colour,2_Colour
I084_UE,IIBR_Dres_base,Plinth 1 [1]1,00016902cix,,564,110,1,1,walnut_sf_18,18,,,,
I084_UE,IIBR_dress,Top2,00016903cix,,564,171.5,0,1,ply18,18,5_white,,,
I084_UE,IIBR_dress,Bottom2,00016904cix,00016905cix,564,171.5,0,1,ply18,18,5_white,,,
I084_UE,IIBR_dress,Left Side2,00016906cix,,1399,193,1,1,walnut_sf_18,18,5_white,5_Dado,5_white,5_white
I084_UE,IIBR_dress,Right Side2,00016907cix,,1399,193,0,1,ply18,18,5_white,5_Dado,5_white,5_white
I084_UE,IIBR_dress,Back2,00016908cix,,1400,584,0,1,ply_7,7,,,,
I084_UE,IIBR_dress,Mobile Shelve2,00016909cix,,564,161.5,0,3,ply18,18,5_white,,,
I084_UE,IIBR_dress,Door-std (single) [1]_12,00016910cix,,1394,594,0,1,Miror,6,2_Colour,2_Colour,2_Colour,2_Colour
I084_UE,IIBR_dress,Door-std (single) [1]_22,00016911cix,,1394,594,0,1,ply18,18,2_Colour,2_Colour,2_Colour,2_Colour
I084_UE,IIBR_Loft-1,Top3,00016912cix,,1180.5,74,0,1,L_F,19,5_Wenge,5_Dado,5_white,
I084_UE,IIBR_Loft-1,Bottom3,00016913cix,,1180.5,74,0,1,L_F,19,5_Wenge,5_Dado,5_white,
I084_UE,IIBR_Loft-1,Left Side3,00016914cix,,749,74,0,1,L_F,19,5_Wenge,5_white,5_white,5_white
I084_UE,IIBR_Loft-1,Right Side3,00016915cix,,712,74,0,1,L_F,19,5_Wenge,5_Wenge,,
I084_UE,IIBR_Loft-1,Door 1/bin/1.5-3 (single) [2]3,00016916cix,,44.5,1129,0,1,walnut_sf_18,18,2_Colour,2_Colour,2_Colour,2_Colour
I084_UE,IIBR_Loft-1,Door-std (double) [1]_13,00016917cix,,694.5,561.5,1,1,walnut_sf_18,18,2_Colour,2_Colour,2_Colour,2_Colour
I084_UE,IIBR_Loft-1,Door-std (double) [1]_23,00016918cix,,694.5,561.5,1,1,walnut_sf_18,18,2_Colour,2_Colour,2_Colour,2_Colour
I084_UE,IIBR_Loft-2,Top4,00016919cix,,563,74,0,1,L_F,19,5_Wenge,5_Dado,,
